# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 6.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-02
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	2.932882e-04	4.984642e-03	-1.133065e-04	2.366349e-04	-3.499414e-04
1             	1.994743e-02	1.665581e+01	-2.807454e+00	-1.383779e+00	-1.423674e+00
2             	4.149641e-02	7.081557e+00	-1.277514e+00	-5.972607e-01	-6.802535e-01
3             	-8.614782e-02	-8.793436e+00	1.189981e+00	5.088427e-01	6.811384e-01
4             	-1.866880e+00	-4.241150e+01	4.178374e+00	2.223069e-01	3.956067e+00
5             	-7.104717e-01	-1.446506e+01	1.305932e+00	-5.750566e-02	1.363438e+00
6             	1.701684e+00	5.436964e+01	-6.799713e+00	-1.698173e+00	-5.101541e+00
7             	2.800454e+00	9.020542e+01	-1.127449e+01	-2.836792e+00	-8.437700e+00
8             	4.849201e-01	2.031512e+01	-3.138672e+00	-1.084416e+00	-2.054256e+00
9             	-1.828187e-01	-4.318975e+01	7.391457e+00	3.512910e+00	3.878547e+00
10            	1.287418e+00	-6.445542e+01	1.683783e+01	9.706331e+00	7.131495e+00
11            	-6.341465e-01	-1.352987e+01	1.516254e+00	1.239805e-01	1.392273e+00
12            	-1.563973e+00	4.755704e+01	-1.313254e+01	-8.130244e+00	-5.002298e+00
13            	-9.072037e-01	3.884465e+01	-1.053299e+01	-6.173697e+00	-4.359289e+00
14            	1.087970e+00	-1.445324e+01	4.306980e+00	3.241460e+00	1.065520e+00
15            	1.333183e+00	-2.660102e+01	7.871227e+00	5.268797e+00	2.602430e+00
16            	4.094403e-01	-3.624422e+00	2.570409e+00	1.694645e+00	8.757640e-01
17            	-5.663745e-01	1.245974e+01	-2.881599e+00	-2.007174e+00	-8.744249e-01
18            	-1.439207e+00	1.344845e+01	-6.183674e+00	-4.531044e+00	-1.652630e+00
19            	-2.219161e-02	2.518795e+00	-1.079313e+00	-5.618480e-01	-5.174648e-01
20            	2.081967e+00	-1.074850e+01	6.380570e+00	5.272252e+00	1.108318e+00
21            	9.366416e-01	-7.462715e+00	3.379966e+00	2.626625e+00	7.533412e-01
22            	-9.260759e-01	5.436118e+00	-3.036459e+00	-2.444305e+00	-5.921534e-01
23            	-5.700089e-01	6.439989e+00	-2.489443e+00	-1.814730e+00	-6.747126e-01
24            	7.344744e-01	2.830040e-02	1.476702e+00	1.472826e+00	3.876736e-03
25            	7.934286e-01	-1.992380e+00	1.925758e+00	1.756307e+00	1.694503e-01
26            	3.351481e-01	-4.957397e-01	6.107426e-01	6.405194e-01	-2.977684e-02
27            	8.648026e-02	1.401694e-01	8.962900e-03	9.096171e-02	-8.199881e-02
